channelId,title,channelTitle,publishedAt
"UCEIi7zFR_wE23jFncVtd6-A","[BE ORIGINAL] Kep1er(케플러) 'WA DA DA' (4K)","STUDIO CHOOM [스튜디오 춤]","2022-01-06T14:00:09Z"
"UCskgi2HFEUjB0mXU_IBXOrg","BENDA MISTERIUS DALAM TELINGA, PAS DI CEK TERNYATA ISINYA..!! #shorts #shortsvideo #youtubeshorts","Kaleb Andri","2022-01-04T05:14:45Z"
"UCplJmnOkqH9tisNhkF6hWEA","[DRAMA] SI GADIS DESA EPISODE 2","Sptrakori_Official","2022-01-05T11:09:38Z"
"UC6SPCnTAIanF2_8ST2wrQzw","LIBURAN KE JOGJA SEWA KERETA WISATA SATU GERBONG.. MEWAH & NYAMAN BANGET","TAULANY TV","2022-01-03T12:33:26Z"
"UCPSHYrLBml2qEv4xyUBbnnA","Makanan Warna Yang Sama Tantangan #8 Multi DO Challenge","Multi DO Challenge Indonesian","2022-01-06T23:00:31Z"
"UCBBZ7No0AzEJ3qiatjSa-mg","Chocolate lipstick! || Weird Ways To Sneak Candies Into the Movies and To Not Get Caught #shorts","SMOL","2022-01-01T10:00:02Z"
"UCC66mp43YCiioNbfj9jQaaA","15 TAHUN KURA KURA GAK GEDE GEDE ?! INI DIAAA !!!","Galuh Cuisine","2022-01-03T02:00:14Z"
"UCGN9JsnkvK05v2lnTI_-uGA","Indonesia Larang Ekspor Batu Bara, Dunia Gelap Gulita?","CNBC Indonesia","2022-01-04T11:37:33Z"
"UC-inGkOwn_su3qh40RYC11A","Pihak Ririn Dwi Ariyanti Minta Aldi Bragi Tinggalkan Rumah #Shorts #TRIBUNLAMPUNG","TRIBUN LAMPUNG NEWS VIDEO","2022-01-07T13:30:00Z"
"UC4BNtv99OYR75bb17blS_HQ","新犯竟敢明目張膽毆打獄霸，眾人懵圈了 ⚔️ 抗日","妹纸爱神剧","2021-12-27T12:00:06Z"
"UCv6pNBPK9wlPsKhEwUKUocw","GPX BASRENG VS BELLETRON ERA | WOMAN STAR LEAGUE S4 REGULAR SEASON WEEK 2 DAY 4","Woman Star League","2022-01-09T15:32:31Z"
"UCBJeMCIeLQos7wacox4hmLQ","Roma 3-4 Juventus | Incredible scenes at the Olimpico | Serie A 2021/22","Serie A","2022-01-09T20:59:27Z"
"UCGzbbduHDAPXmtBzfLqsu0g","DI JEPANG KOTAK KUENYA KEKINIAN BANGET","Sugoi TV","2022-01-03T11:30:03Z"
"UC9ShEC3WCBv9O4asHkb1zWQ","DASAR KOTONI JAHAT! #shorts #janjikita","KulinerSamaCici - Vinny Laurencia","2022-01-04T09:32:47Z"
"UClvgyQvIplPQU8N73vPlFUA","999 IQ Moments","AshStudio7","2022-01-05T11:20:10Z"
"UCEHprhvK2xu0CYKcnbMshBw","BORDIR DAN SONDANG AKRAB || KONTRAKAN REMPONG EPISODE 433","WARINTIL OFFICIAL","2022-01-08T03:00:20Z"
"UCWGOhSe61NObJ6MwzG0JOjQ","EL TANYA, KAPAN BOLEH PACARAN !? SHOCK BANGET !!","Jessica Iskandar","2022-01-04T09:45:12Z"
"UCeM5Nksgv9_FXTuZ8jkPJPg","LAGU TERVIRAL! ROSSA X LESTI KEJORA - HATI YANG KAU SAKITI | 25 TAHUN ROSSA","RCTI - ENTERTAINMENT","2021-12-30T14:04:59Z"
"UCUnmH8N8k4E7y3dKfCzDKKg","This Is What A $5000 Firework Looks Like... (Epic)","Brandon B","2021-12-31T16:42:02Z"
"UC2ilLcjgCNh60FevRx4FRtg","PERANG MONSTER LABA LABA LAWAN KALAJENGKING, SPIDERMAN UPIN IPIN TAKUT - GTA T BOCIL SULTAN","Pratama Eriz","2022-01-14T03:32:01Z"
"UCAdbNpr8dj9UUsgYrqln7nQ","HAPPY ASMARA - OTW ( Omong Taek We ) [Official Live Music]","RC Music","2022-01-02T13:00:13Z"
